sub_id,x,y,t,trial_id
052212_2,NA,NA,27336.217,1
052212_2,NA,NA,27344.581,1
052212_2,NA,NA,27352.9,1
052212_2,NA,NA,27361.324,1
052212_2,NA,NA,27369.616,1
052212_2,NA,NA,27378.151,1
052212_2,NA,NA,27386.347,1
052212_2,NA,NA,27394.573,1
052212_2,NA,NA,27402.95,1
052212_2,NA,NA,27411.304,1
052212_2,NA,NA,27419.679,1
052212_2,NA,NA,27427.917,1
052212_2,NA,NA,27436.312,1
052212_2,NA,NA,27445.355,1
052212_2,NA,NA,27453.086,1
052212_2,NA,NA,27461.312,1
052212_2,NA,NA,27469.685,1
052212_2,NA,NA,27478.075,1
052212_2,NA,NA,27486.454,1
052212_2,NA,NA,27652.778,1
052212_2,NA,NA,27702.553,1
052212_2,NA,NA,27752.532,1
052212_2,NA,NA,27802.543,1
052212_2,NA,NA,27852.728,1
052212_2,NA,NA,27902.697,1
052212_2,NA,NA,27952.687,1
052212_2,NA,NA,28002.71,1
052212_2,NA,NA,28052.669,1
052212_2,NA,NA,28102.679,1
052212_2,NA,NA,28153.005,1
052212_2,NA,NA,28202.837,1
052212_2,NA,NA,28252.794,1
052212_2,NA,NA,28302.851,1
052212_2,NA,NA,28352.882,1
052212_2,NA,NA,28402.942,1
052212_2,NA,NA,28452.863,1
052212_2,NA,NA,28502.942,1
052212_2,NA,NA,28553.104,1
052212_2,NA,NA,28602.922,1
052212_2,NA,NA,28653.028,1
052212_2,NA,NA,28703.07,1
052212_2,NA,NA,28753.096,1
052212_2,NA,NA,28803.042,1
052212_2,NA,NA,28853.049,1
052212_2,NA,NA,28903.19,1
052212_2,NA,NA,28953.179,1
052212_2,NA,NA,29003.132,1
052212_2,NA,NA,29053.324,1
052212_2,NA,NA,29103.281,1
052212_2,NA,NA,29153.246,1
052212_2,NA,NA,29203.254,1
052212_2,NA,NA,29253.244,1
052212_2,NA,NA,29303.267,1
052212_2,NA,NA,29353.352,1
052212_2,NA,NA,29403.429,1
052212_2,NA,NA,29453.373,1
052212_2,NA,NA,29503.411,1
052212_2,NA,NA,29553.948,1
052212_2,NA,NA,29603.514,1
052212_2,NA,NA,29653.526,1
052212_2,NA,NA,29703.536,1
052212_2,NA,NA,29753.725,1
052212_2,NA,NA,29803.64,1
052212_2,NA,NA,29853.512,1
052212_2,NA,NA,29903.63,1
052212_2,NA,NA,29953.752,1
052212_2,NA,NA,30003.593,1
052212_2,NA,NA,30054.391,1
052212_2,NA,NA,30103.766,1
052212_2,NA,NA,30153.78,1
052212_2,NA,NA,30203.796,1
052212_2,NA,NA,30254.353,1
052212_2,NA,NA,30303.814,1
052212_2,NA,NA,30353.87,1
052212_2,NA,NA,30403.91,1
052212_2,NA,NA,30454.002,1
052212_2,NA,NA,30503.871,1
052212_2,NA,NA,30553.878,1
052212_2,NA,NA,30604.009,1
052212_2,NA,NA,30654.279,1
052212_2,NA,NA,30704.042,1
052212_2,NA,NA,30753.991,1
052212_2,NA,NA,30804.022,1
052212_2,NA,NA,30854.599,1
052212_2,NA,NA,30904.212,1
052212_2,NA,NA,30954.232,1
052212_2,NA,NA,31004.156,1
052212_2,NA,NA,31054.305,1
052212_2,NA,NA,31104.257,1
052212_2,NA,NA,31154.272,1
052212_2,NA,NA,31204.315,1
052212_2,NA,NA,31254.513,1
052212_2,NA,NA,31304.253,1
052212_2,NA,NA,31354.362,1
052212_2,NA,NA,31404.331,1
052212_2,NA,NA,31454.355,1
052212_2,NA,NA,31504.358,1
052212_2,NA,NA,31554.539,1
052212_2,NA,NA,31604.488,1
052212_2,NA,NA,31654.472,1
052212_2,NA,NA,31704.517,1
052212_2,NA,NA,31754.46,1
052212_2,NA,NA,31804.487,1
052212_2,NA,NA,31854.55,1
052212_2,NA,NA,31904.852,1
052212_2,NA,NA,31954.622,1
052212_2,NA,NA,32004.6,1
052212_2,NA,NA,32054.553,1
052212_2,NA,NA,32104.921,1
052212_2,NA,NA,32154.884,1
052212_2,NA,NA,32204.874,1
052212_2,NA,NA,32255.048,1
052212_2,NA,NA,32305.05,1
052212_2,NA,NA,32354.882,1
052212_2,NA,NA,32404.976,1
052212_2,NA,NA,32455.231,1
052212_2,NA,NA,32527.884,1
